"formationid";"formationtitle";"moduleid";"moduleorder";"moduletitle";"moduledescription"
"9";"Formation MS-100 – Microsoft 365 Gestion des identités et services";"133777";"2";"Gérer votre locataire Microsoft 365";"<p>Configurer des rôles d’administrateur Microsoft 365.<br />Gérer la santé et les services des locataires.<br />Gérer les installations de clients dirigées par l’utilisateur.<br />Gérer les applications centralisées Microsoft 365 pour les déploiements d’entreprise.</p><p>TP : Gérer votre locataire Microsoft 365.</p>"
"9";"Formation MS-100 – Microsoft 365 Gestion des identités et services";"133776";"3";"Présentation de Microsoft 365";"<div>Présentation de Exchange Online.</div><div>Présentation de SharePoint Online.</div><div>Présentation de Teams.</div><div>Aperçu de Power Platform</div><div>Aperçu des applications Power</div><div>Aperçu de Power Automate</div><div>Aperçu de Power BI</div><div>Présentation des Power Virtual Agents.</div><div>Présentation des ressources supplémentaires.</div><div>Présentation de la gestion des périphériques.</p></div><div></div><div></div><div></div><div></div><div>TP : Examiner la fonctionnalité d’Office 365</div>"
"9";"Formation MS-100 – Microsoft 365 Gestion des identités et services";"133775";"4";"Configurer les clients Microsoft 365";"<div>Présentation du client Microsoft 365.</div><div>Configurer la connectivité client Office sur Microsoft 365.</div>"
"9";"Formation MS-100 – Microsoft 365 Gestion des identités et services";"133774";"5";"Capturer les données dirigées par l’utilisateur";"<div>Configurer les d’Office Telemetry</div><div>Configuration de Workplace Analytics.</div>"
"9";"Formation MS-100 – Microsoft 365 Gestion des identités et services";"133773";"6";"Planifier et mettre en œuvre la synchronisation des identités";"<div>Introduction à la synchronisation des identités</div><div>Planifier pour Azure AD Connect</div><div>Mettre en œuvre Azure AD Connect</div><div>Gérer les identités synchronisées</div><div>Gestion des mots de passe dans Microsoft 365</div><div></div><div></div><div>TP : Gérer les identités</div>"
"9";"Formation MS-100 – Microsoft 365 Gestion des identités et services";"133779";"7";"Mettre en œuvre les applications et l’accès externe";"<div>Mettre en œuvre les applications dans Azure AD.</div><div>Configurer le proxy des applications d’Azure AD.</div><div>Solutions pour l’accès externe.</div>"
"10";"Formation Initiation à la Programmation en Python (individualisée et personnalisée)";"119525";"0";"Introduction (14 heures)";"<div><b>Introduction</b></div><div>Installer Python</div><div>Installer des librairies</div><div>Python 2 vs Python 3</div><div>IPython / Jupyter</div><div>Environnement de développement intégré</div><div><br></div><div><b>Premiers pas</b></div><div>L’arithmétique de base</div><div>Les variables</div><div>Les types de données</div><div><br></div><div><b>Logique de contrôle de flux</b></div><div>Les structures conditionnelles : if, else, elif</div><div>Les opérateurs de comparaison</div><div>Les mots clés and, or et not</div><div>La boucle while</div><div>La boucle for</div><div><br></div><div><b>Les fonctions</b></div><div>Création d’une fonction</div><div>La docstring</div><div>Les fonctions lambda</div><div>Les modules et la méthode import</div><div>Les packages</div><div>Les exceptions</div><div>Les assertions</div><div><br></div><div><b>Types avancés</b></div><div>La chaîne de caractères</div><div>Les listes et tuples</div><div>Les listes comme paramètres de fonctions</div><div>Les compréhensions de liste</div><div>Les fonctions map, filter et reduce</div><div>Les dictionnaires</div><div>Les fichiers</div><div><br></div><div><b>Portée des variables, objets mutables et immutables, et références</b></div><div>Variables locales</div><div>Variables globales</div><div>Références</div><div><br></div><div><b>Conclusion</b></div><div>L’étape d’après</div><div>Conseils pour aller plus loin avec Python</div>"
"10";"Formation Initiation à la Programmation en Python (individualisée et personnalisée)";"119526";"1";"Python Programmation Orientée Objet (14 heures)";"<b>Introduction</b><div>Environnement de développement Python</div><div>Pourquoi est-il important de travailler dans un environnement virtuel ?</div><div><br></div><div><b>La programmation orientée objet en Python</b></div><div>Les classes</div><div>Les attributs de classe</div><div>Les méthodes d’instance</div><div>Les méthodes de classe</div><div>Les méthodes statiques</div><div>Explorer une classe</div><div>Les propriétés</div><div>Les méthodes spéciales</div><div>L’héritage simple</div><div>L’héritage multiple</div><div>La composition</div><div><br></div><div><b>Les data classes</b></div><div>Définition</div><div>Utiliser les data classes</div><div>Type hinting</div><div>Définition de data classes</div><div>Créer un package et l’installer sur son ordinateur (mini projet)</div><div><br></div><div><b>Création d’un package</b></div><div>Installation et utilisation</div>"
"11";"Formation sensibilisation cyber-défense";"81280";"0";"Qu'est ce que le Hacking ? ";"<p>Définition du Hacking<br />Les objectifs du piratage informatique<br />Notion de vulnérabilité, menace et attaque<br />Exemples d&rsquo;attaques<br />Aperçu du marché de la cybercriminalité<br />Les différentes menaces : phishing, virus, ait&#8230;<br />Les erreurs à éviter<br />Exemples de méthodologie</p>"
"12";"Formation Social Engineering";"81292";"0";"Découvrir les grands types d'attaques";"<p>Exemples illustrés<br />Découvrir les vecteurs d&rsquo;attaques<br />Comprendre par quel endroit on peut être attaqué<br />Apprendre les techniques employées<br />Apprendre à les détecter<br />Savoir réagir<br />Protéger son organisation</p>"
"12";"Formation Social Engineering";"81291";"1";"Les modules opératoires";"<p>Patcher les failles humaines et les failles organisationnelles<br />Appréhender les techniques de manipulation<br />Techniques et ressorts de manipulation<br />Comment se défendre ? </p>"
"13";"Formation comprendre les aspects juridiques de la sécurité informatique";"81296";"0";"Qualifications et ripostes juridiques face aux atteintes au système d'informations";"<p>Élément matériel et élément moral<br />Atteinte au fonctionnement d&rsquo;un système d&rsquo;information et atteinte aux données<br />Diffusion d&rsquo;un logiciel d&rsquo;intrusion</p>"
"13";"Formation comprendre les aspects juridiques de la sécurité informatique";"81295";"1";"Atteintes aux données à caractère personnel";"<p>Comprendre la notion de données à caractère personnel<br />Adresse IP<br />Collecte et divulgation illicite de données<br />Obligation de notification de failles de sécurité<br />La CNIL<br />Conservation des données de connexion<br />Accès administratif</p>"
"13";"Formation comprendre les aspects juridiques de la sécurité informatique";"81294";"2";"Infractions pénales applicables";"<p>Escroquerie<br />Usurpation d&rsquo;identité<br />Atteinte au secret des correspondances<br />Dégradation physique d&rsquo;un système<br />Vol d&rsquo;informations</p>"
"13";"Formation comprendre les aspects juridiques de la sécurité informatique";"81293";"3";"L'encadrement contractuel";"<p>Encadrement des tests d&rsquo;intrusion<br />Exonérations de responsabilité du prestataire<br />Les chartes professionnelles<br />Révélation d&rsquo;une faille relative à un serveur ou un système d&rsquo;exploitation<br />Conseils face à la divulgation de failles de sécurité</p>"
"14";"Formation Référencement Niveau 2";"81304";"0";"Comprendre la recherche sémantique";"<p>Définir les microdonnées et schema.org<br />Découvrir les bonnes pratiques</p>"
"14";"Formation Référencement Niveau 2";"81302";"1";"Les enjeux de la refonte de site";"<p>Comprendre le Netlinking et le Crosslinking<br />Découvrir la notion de Linkbating<br />Workshop : Evaluer le niveau d&rsquo;optimisation de vos backlinks</p>"
"14";"Formation Référencement Niveau 2";"81301";"2";"Réaliser des audits";"<p>Audit technique, de contenu et de popularité<br />Découvrir les techniques avancées<br />Workshop : Analyser et auditer les sites des participants</p>"
"14";"Formation Référencement Niveau 2";"81300";"3";"Dupliquer du contenu";"<p>Comprendre les risques et impacts des pénalités des robots Google<br />Utiliser des outils pour détecter la duplication de contenu<br />Découvrir comment se protéger de la duplication</p>"
"14";"Formation Référencement Niveau 2";"81299";"4";"Découvrir Google Adwords";"<p>Comprendre le fonctionnement des campagnes<br />Evaluer leurs coûts<br />Créer une campagne<br />Faire le lien entre le SEO et Google Adwords</p>"
"14";"Formation Référencement Niveau 2";"81298";"5";"Utiliser Google Webmaster Tools";"<p>Découvrir les GWT, sitelinks, options de fichier robots.txt, sitemap.xml<br />Optimiser votre référencement<br />Afficher les statistiques</p>"
"14";"Formation Référencement Niveau 2";"81297";"6";"S'intéresser à l'ensemble des moteurs de recherche Google";"<p>Google Image<br />Référencement de documents<br />Youtube<br />Google Maps<br />Google Actualités</p>"
"14";"Formation Référencement Niveau 2";"81303";"7";"Comprendre le cas du Web mobile";"<p>Découvrir le robot Google mobile<br />Disposer des bonnes pratiques en SEO mobile</p>"
"15";"Formation SEO Niveau 1 (individualisée et personnalisée)";"102173";"0";"Présentation du référencement";"<p>Comprendre le référencement et ses objectifs<br />Découvrir les différentes sources de trafic<br />Comprendre le fonctionnement d&rsquo;un moteur de recherche<br />Découvrir les robots Google<br />Comprendre les notions de PageRank et TrustRank<br />Définir les différents types de référencements : SEO, SEA, SEM</p>"
"15";"Formation SEO Niveau 1 (individualisée et personnalisée)";"102174";"1";"Découvrir les conduites à risque";"<p>Pénalités Google<br />Black Hat<br />Cloacking<br />Content Spinning<br />Spamming<br />Liens cachés<br />Pages satellites</p>"
"15";"Formation SEO Niveau 1 (individualisée et personnalisée)";"102175";"2";"Définir une stratégie de référencement";"<p>Faire un audit de l&rsquo;existant<br />Réaliser une veille sur la concurrence<br />Définir vos objectifs et stratégies SEO<br />Réaliser du contenu avec des techniques d&rsquo;écriture web<br />Comprendre l&rsquo;intérêt du maillage interne<br />Apprendre les notions de Sitemap, Indexation<br />Créer des Landing Pages<br />Concevoir des Backlinks via des annuaires de sites<br />Comprendre la notion de liens no-follow<br />Comprendre le référencement des sites mobiles</p>"
"15";"Formation SEO Niveau 1 (individualisée et personnalisée)";"102176";"3";"Définir les mots-clés";"<p>Trouver les bons mots clés<br />Définir une stratégie de mots clés<br />Veille sur les mots clés de votre trafic et de vos concurrents<br />Disposer de notions en HTML5 et CSS3</p>"
"15";"Formation SEO Niveau 1 (individualisée et personnalisée)";"102177";"4";"Analyser et améliorer vos résultats";"<p>Suivre votre positionnement<br />Utiliser Universal Analytics<br />Mettre à jour votre référencement avec les bons outils<br />Conserver un bon positionnement dans les moteurs de recherche</p>"
"15";"Formation SEO Niveau 1 (individualisée et personnalisée)";"102178";"5";"Gérer le référencement CMS";"<p>Découvrir les éléments à prendre en compte pour un CMS<br />Découvrir les plug-ins utiles pour le SEO</p>"
"16";"Formation E-reputation Veille, réputation et marque personnelle";"81315";"0";"Les méthodologies de veille et diffusion";"<p>Découvrir les principes de la veille<br />Identifier les outils gratuits et outils payants<br />Mettre en place des requêtes<br />Assurer la gestion de la veille au quotidien</p>"
"16";"Formation E-reputation Veille, réputation et marque personnelle";"81316";"1";"Optimiser les codes et les usages";"<p>Apprendre les règles de prudence<br />Gérer des publications, diffuser des contenus spécifiques<br />Apprendre à engager et répondre à une conversation<br />Workshop : Définir une ligne éditoriale et une fréquence de publication<br />Apprendre à négocier avec les administrateurs d&rsquo;un site<br />Supprimer des messages négatifs<br />Découvrir la notion de bad buzz<br />Automatiser vos publications</p>"
"16";"Formation E-reputation Veille, réputation et marque personnelle";"81317";"2";"Mesurer les résultats";"<p>Mesurer les impacts de vos actions<br />Effectuer un tableau de bord de suivi<br />Découvrir les outils de mesure des actions de e-reputation</p>"
